Connecting to ATC...
Established connection to ATC!
Please type the tail number of your aircraft: 
Whats the fuel consumption per minute?
Whats the total fuel?
Your aircraft has been registered!
To manuver the aircraft type:
L for landing
T for takeoff
Fuel left: 299.25
Fuel left: 299.16666
Fuel left: 299.08334
Fuel left: 299.0
Fuel left: 298.91666
Fuel left: 298.83334
Fuel left: 298.75
Fuel left: 298.66666
Fuel left: 298.58334
Fuel left: 298.5
Fuel left: 298.41666
Fuel left: 298.33334
Fuel left: 298.25
Fuel left: 298.16666
Fuel left: 298.08334
Fuel left: 298.0
Fuel left: 297.91666
Fuel left: 297.83334
Fuel left: 297.75
Fuel left: 297.66666
Fuel left: 297.58334
Fuel left: 297.5
Fuel left: 297.41666
Fuel left: 297.33334
Fuel left: 297.25
Fuel left: 297.16666
Fuel left: 297.08334
Fuel left: 297.0
Fuel left: 296.91666
Fuel left: 296.83334
Fuel left: 296.75
Fuel left: 296.66666
Fuel left: 296.58334
Fuel left: 296.5
Fuel left: 296.41666
Fuel left: 296.33334
Fuel left: 296.25
Fuel left: 296.16666
Fuel left: 296.08334
Fuel left: 296.0
Fuel left: 295.91666
Fuel left: 295.83334
Fuel left: 295.75
Fuel left: 295.66666
Fuel left: 295.58334
Fuel left: 295.5
Fuel left: 295.41666
Fuel left: 295.33334
Fuel left: 295.25
Fuel left: 295.16666
Fuel left: 295.08334
Fuel left: 295.0
Fuel left: 294.91666
Fuel left: 294.83334
Fuel left: 294.75
Fuel left: 294.66666
Fuel left: 294.58334
Fuel left: 294.5
Fuel left: 294.41666
Fuel left: 294.33334
Fuel left: 294.25
Fuel left: 294.16666
Fuel left: 294.08334
Fuel left: 294.0
Fuel left: 293.91666
Fuel left: 293.83334
Fuel left: 293.75
Fuel left: 293.66666
Fuel left: 293.58334
Fuel left: 293.5
Fuel left: 293.41666
Fuel left: 293.33334
Fuel left: 293.25
Fuel left: 293.16666
Fuel left: 293.08334
Fuel left: 293.0
Fuel left: 292.91666
Fuel left: 292.83334
Fuel left: 292.75
Fuel left: 292.66666
Fuel left: 292.58334
Fuel left: 292.5
Fuel left: 292.41666
Fuel left: 292.33334
Fuel left: 292.25
Fuel left: 292.16666
Fuel left: 292.08334
Fuel left: 292.0
Fuel left: 291.91666
Fuel left: 291.83334
Fuel left: 291.75
Fuel left: 291.66666
Fuel left: 291.58334
Fuel left: 291.5
Fuel left: 291.41666
Fuel left: 291.33334
Fuel left: 291.25
Fuel left: 291.16666
Fuel left: 291.08334
Fuel left: 291.0
Fuel left: 290.91666
Fuel left: 290.83334
Fuel left: 290.75
Fuel left: 290.66666
Fuel left: 290.58334
Fuel left: 290.5
Fuel left: 290.41666
Fuel left: 290.33334
Fuel left: 290.25
